"","gloveOrHand","observation","year","iNaturalistID","observed_on","latitude","longitude","positional_accuracy","quality_grade","license","captive","taxon_id","recorded_by"
"1",1,"https://www.inaturalist.org/observations/100665",2012,"100665","2012-07-10","41.011","-81.6843333333",0,"research","CC-BY",FALSE,40509,"jwhittle"
"2",1,"https://www.inaturalist.org/observations/10468158",2014,"10468158",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",0,"https://www.inaturalist.org/observations/10623008",2018,"10623008","2018-03-16","42.1580606529","9.3980527307",0,"research","CC-BY",FALSE,40695,"jujurenoult"
"4",0,"https://www.inaturalist.org/observations/10868671",2018,"10868671","2018-02-17","19.5089451485","-103.7107658386",1030,"needs_id","CC-BY-NC",FALSE,40992,"zamboiro"
"5",0,"https://www.inaturalist.org/observations/112578",2012,"112578","2012-04-13","4.7464857692","-76.2939323285",2118,"needs_id","CC-BY",FALSE,41039,"damonsalveo"
"6",1,"https://www.inaturalist.org/observations/11388729",2018,"11388729","2018-04-18","41.6062406271","-73.0515557603",5888,"research","CC-BY-NC",FALSE,40523,"lindabowen"
"7",0,"https://www.inaturalist.org/observations/117460",2012,"117460","2012-08-28","41.2982486234","-81.4564603212",0,"research","CC-BY",FALSE,183166,"mperdicas"
"8",1,"https://www.inaturalist.org/observations/11851566",2018,"11851566",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",0,"https://www.inaturalist.org/observations/12026349",2018,"12026349",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",0,"https://www.inaturalist.org/observations/120500",2010,"120500","2010-10-18","7.7430672151","-72.558583269",0,"research","CC-BY-NC",FALSE,74518,"arleyo"
"11",1,"https://www.inaturalist.org/observations/1208542",2002,"1208542",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",0,"https://www.inaturalist.org/observations/121810",2012,"121810","2012-09-11","41.2744089651","-81.4978647896",0,"research","CC-BY",FALSE,40349,"jwhittle"
"13",0,"https://www.inaturalist.org/observations/122214",2012,"122214","2012-09-13","42.582826","-80.398481",100,"research","CC-BY-NC",FALSE,40629,"pcatling"
"14",1,"https://www.inaturalist.org/observations/123931",2007,"123931","2007-01-02","10.3791742427","-84.1107487186",0,"research","CC-BY-NC",FALSE,41221,"kucycads"
"15",0,"https://www.inaturalist.org/observations/123965",2007,"123965","2007-01-06","10.3791742427","-84.1107487186",0,"research","CC-BY-NC",FALSE,41005,"kucycads"
"16",1,"https://www.inaturalist.org/observations/12519390",2004,"12519390","2004-08-10","21.0916263","-89.5956119",421,"needs_id","CC-BY-ND",FALSE,40992,"luis_diaz-gamboa"
"17",1,"https://www.inaturalist.org/observations/125920",2012,"125920","2012-08-27","5.5242709755","-74.873124361",0,"needs_id","CC-BY-NC",FALSE,41226,"biologist13"
"18",0,"https://www.inaturalist.org/observations/126323",2007,"126323","2007-01-12","10.5461940178","-84.0057269418",3537,"research","CC-BY-NC",FALSE,41057,"kucycads"
"19",1,"https://www.inaturalist.org/observations/127029",2008,"127029","2008-10-02","35.067167","-109.780347",54,"research","CC-BY-NC",FALSE,40342,"kucycads"
"20",0,"https://www.inaturalist.org/observations/1273714",2002,"1273714",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",0,"https://www.inaturalist.org/observations/1296911",2008,"1296911","2008-08-31","44.911615","7.788198",100,"research","CC-BY-NC",FALSE,40383,"roberto_sindaco"
"22",0,"https://www.inaturalist.org/observations/131187",2011,"131187","2011-07-12","53.2226269831","6.7730687758",1174,"research","CC-BY",FALSE,40308,"torwart"
"23",1,"https://www.inaturalist.org/observations/133004",2010,"133004",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",0,"https://www.inaturalist.org/observations/133007",2010,"133007",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1,"https://www.inaturalist.org/observations/133279",2012,"133279","2012-05-19","40.2330351383","-83.0354619026",0,"research","CC-BY",FALSE,40509,"jwhittle"
"26",0,"https://www.inaturalist.org/observations/136033",2009,"136033","2009-08-23","5.929048","0.07349",0,"research","CC-BY",FALSE,183177,"jakob"
"27",0,"https://www.inaturalist.org/observations/139000",2011,"139000","2011-07-24","37.3797892656","-121.7287433482",0,"research","CC-BY-NC",FALSE,41301,"edwardrooks"
"28",1,"https://www.inaturalist.org/observations/140571",2009,"140571","2009-08-02","-5.0928889","38.6151667",300,"research","CC0",FALSE,40966,"carrieseltzer"
"29",1,"https://www.inaturalist.org/observations/140580",2009,"140580","2009-07-26","-5.0996833","38.6243167",20,"needs_id","CC0",FALSE,40585,"carrieseltzer"
"30",1,"https://www.inaturalist.org/observations/140597",2011,"140597","2011-03-11","-5.0989866025","38.6321821085",30,"research","CC0",FALSE,40811,"carrieseltzer"
"31",1,"https://www.inaturalist.org/observations/14204583",2018,"14204583","2018-07-06","34.1091414368","-90.159799056",0,"research","CC-BY-NC",FALSE,183166,"cricketfrog13"
"32",0,"https://www.inaturalist.org/observations/14635875",2017,"14635875","2017-12-09","16.973000287","122.1980237037",12688,"needs_id","CC-BY-NC",FALSE,74298,"ryan367"
"33",0,"https://www.inaturalist.org/observations/15686267",2018,"15686267","2018-08-19","-21.8848126887","125.5446151356",0,"needs_id","CC-BY",FALSE,40268,"questagame"
"34",0,"https://www.inaturalist.org/observations/16162774",2018,"16162774","2018-08-16","44.6972371079","8.1526335201",6,"research","CC-BY-NC",FALSE,40291,"rtoffoli"
"35",0,"https://www.inaturalist.org/observations/16202689",2018,"16202689","2018-07-14","6.3252990204","-73.9488746971",132,"research","CC-BY-NC",FALSE,41153,"michaelsteven"
"36",0,"https://www.inaturalist.org/observations/16432778",2006,"16432778",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",0,"https://www.inaturalist.org/observations/16915032",2017,"16915032","2017-05-26","18.5158769543","-99.0127531934",15,"research","CC-BY-NC",FALSE,41387,"josue__hdz"
"38",0,"https://www.inaturalist.org/observations/17224027",2018,"17224027","2018-10-04","23.4471038888","-109.972119989",122,"research","CC-BY-NC",FALSE,40309,"osielalejandrofloresrosas"
"39",0,"https://www.inaturalist.org/observations/17653787",2001,"17653787",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",0,"https://www.inaturalist.org/observations/1770393",2004,"1770393","2004-11-10","24.399096","-106.609512",0,"needs_id","CC-BY-NC",FALSE,846304,"guevara-medina"
"41",0,"https://www.inaturalist.org/observations/17992300",2002,"17992300","2002-05-26","45.332549","7.918161",18,"needs_id","CC-BY-NC",FALSE,40269,"giorege1959"
"42",0,"https://www.inaturalist.org/observations/18430599",2008,"18430599",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",0,"https://www.inaturalist.org/observations/18694269",2003,"18694269","2003-07-29","24.1807883102","121.3100413498",50,"research","CC-BY-NC",FALSE,785254,"thrashchang"
"44",0,"https://www.inaturalist.org/observations/18694271",2003,"18694271","2003-07-29","23.723728","120.175028",200,"research","CC-BY-NC",FALSE,796556,"thrashchang"
"45",0,"https://www.inaturalist.org/observations/18694486",2003,"18694486","2003-07-29","24.1808029911","121.3100198929",24,"research","CC-BY-NC",FALSE,765499,"thrashchang"
