gloveOrHand,observation,year
glove,https://www.inaturalist.org/observations/100665,2012
glove,https://www.inaturalist.org/observations/10468158,2014
hand,https://www.inaturalist.org/observations/10623008,2018
hand,https://www.inaturalist.org/observations/10868671,2018
hand,https://www.inaturalist.org/observations/112578,2012
glove,https://www.inaturalist.org/observations/11388729,2018
hand,https://www.inaturalist.org/observations/117460,2012
glove,https://www.inaturalist.org/observations/11851566,2018
hand,https://www.inaturalist.org/observations/12026349,2018
hand,https://www.inaturalist.org/observations/120500,2010
glove,https://www.inaturalist.org/observations/1208542,2002
hand,https://www.inaturalist.org/observations/121810,2012
hand,https://www.inaturalist.org/observations/122214,2012
glove,https://www.inaturalist.org/observations/123931,2007
hand,https://www.inaturalist.org/observations/123965,2007
glove,https://www.inaturalist.org/observations/12519390,2004
glove,https://www.inaturalist.org/observations/125920,2012
hand,https://www.inaturalist.org/observations/126323,2007
glove,https://www.inaturalist.org/observations/127029,2008
hand,https://www.inaturalist.org/observations/1273714,2002
hand,https://www.inaturalist.org/observations/1296911,2008
hand,https://www.inaturalist.org/observations/131187,2011
glove,https://www.inaturalist.org/observations/133004,2010
hand,https://www.inaturalist.org/observations/133007,2010
glove,https://www.inaturalist.org/observations/133279,2012
hand,https://www.inaturalist.org/observations/136033,2009
hand,https://www.inaturalist.org/observations/139000,2011
glove,https://www.inaturalist.org/observations/140571,2009
glove,https://www.inaturalist.org/observations/140580,2009
glove,https://www.inaturalist.org/observations/140597,2011
glove,https://www.inaturalist.org/observations/14204583,2018
hand,https://www.inaturalist.org/observations/14635875,2017
hand,https://www.inaturalist.org/observations/15686267,2018
hand,https://www.inaturalist.org/observations/16162774,2018
hand,https://www.inaturalist.org/observations/16202689,2018
hand,https://www.inaturalist.org/observations/16432778,2006
hand,https://www.inaturalist.org/observations/16915032,2017
hand,https://www.inaturalist.org/observations/17224027,2018
hand,https://www.inaturalist.org/observations/17653787,2001
hand,https://www.inaturalist.org/observations/1770393,2004
hand,https://www.inaturalist.org/observations/17992300,2002
hand,https://www.inaturalist.org/observations/18430599,2008
hand,https://www.inaturalist.org/observations/18694269,2003
hand,https://www.inaturalist.org/observations/18694271,2003
hand,https://www.inaturalist.org/observations/18694486,2003
hand,https://www.inaturalist.org/observations/187540,2003
hand,https://www.inaturalist.org/observations/187547,2003
hand,https://www.inaturalist.org/observations/1957222,1992
hand,https://www.inaturalist.org/observations/19896006,2006
glove,https://www.inaturalist.org/observations/20081949,2003
hand,https://www.inaturalist.org/observations/20363492,2003
hand,https://www.inaturalist.org/observations/203962,2003
hand,https://www.inaturalist.org/observations/20865285,2018
glove,https://www.inaturalist.org/observations/20982643,2018
hand,https://www.inaturalist.org/observations/217357,1999
glove,https://www.inaturalist.org/observations/22199718,2019
glove,https://www.inaturalist.org/observations/22280990,2001
hand,https://www.inaturalist.org/observations/22280992,2001
hand,https://www.inaturalist.org/observations/22280995,2001
glove,https://www.inaturalist.org/observations/24141793,2019
hand,https://www.inaturalist.org/observations/25154956,2019
hand,https://www.inaturalist.org/observations/25955908,2013
glove,https://www.inaturalist.org/observations/26044309,2015
glove,https://www.inaturalist.org/observations/27248344,2019
glove,https://www.inaturalist.org/observations/27647437,2015
hand,https://www.inaturalist.org/observations/27655732,2004
hand,https://www.inaturalist.org/observations/27981168,2018
hand,https://www.inaturalist.org/observations/29746565,2011
hand,https://www.inaturalist.org/observations/29885458,2019
hand,https://www.inaturalist.org/observations/30678496,2019
hand,https://www.inaturalist.org/observations/30694903,1986
glove,https://www.inaturalist.org/observations/31001478,2006
glove,https://www.inaturalist.org/observations/31001487,2006
hand,https://www.inaturalist.org/observations/31001491,2006
glove,https://www.inaturalist.org/observations/31001495,2006
hand,https://www.inaturalist.org/observations/31001512,2006
glove,https://www.inaturalist.org/observations/31146026,2018
hand,https://www.inaturalist.org/observations/31289098,2006
hand,https://www.inaturalist.org/observations/31328249,2019
hand,https://www.inaturalist.org/observations/32286718,2019
glove,https://www.inaturalist.org/observations/32322977,2019
glove,https://www.inaturalist.org/observations/32323646,2019
hand,https://www.inaturalist.org/observations/32499322,2019
glove,https://www.inaturalist.org/observations/32565993,2019
hand,https://www.inaturalist.org/observations/327906,2008
glove,https://www.inaturalist.org/observations/34443808,2014
glove,https://www.inaturalist.org/observations/34894429,2015
hand,https://www.inaturalist.org/observations/35176744,2016
glove,https://www.inaturalist.org/observations/35238172,2019
hand,https://www.inaturalist.org/observations/35240758,2019
hand,https://www.inaturalist.org/observations/36430012,2019
hand,https://www.inaturalist.org/observations/36446244,2019
hand,https://www.inaturalist.org/observations/36452445,2019
glove,https://www.inaturalist.org/observations/36559760,2019
hand,https://www.inaturalist.org/observations/371346,2000
hand,https://www.inaturalist.org/observations/37213745,2019
glove,https://www.inaturalist.org/observations/37213747,2019
hand,https://www.inaturalist.org/observations/37213748,2019
hand,https://www.inaturalist.org/observations/37213749,2019
glove,https://www.inaturalist.org/observations/37395247,2019
glove,https://www.inaturalist.org/observations/37423264,2019
hand,https://www.inaturalist.org/observations/374328,1991
glove,https://www.inaturalist.org/observations/3743439,2016
glove,https://www.inaturalist.org/observations/37452225,2019
hand,https://www.inaturalist.org/observations/37583778,2006
hand,https://www.inaturalist.org/observations/37584902,2006
glove,https://www.inaturalist.org/observations/37626359,2019
glove,https://www.inaturalist.org/observations/37647904,2019
hand,https://www.inaturalist.org/observations/37669003,2019
hand,https://www.inaturalist.org/observations/37702779,2003
glove,https://www.inaturalist.org/observations/37716456,2002
hand,https://www.inaturalist.org/observations/380247,2011
hand,https://www.inaturalist.org/observations/38280598,2020
glove,https://www.inaturalist.org/observations/38343953,2013
hand,https://www.inaturalist.org/observations/38484889,2015
glove,https://www.inaturalist.org/observations/39403,2010
glove,https://www.inaturalist.org/observations/3989430,2006
glove,https://www.inaturalist.org/observations/40040,2008
glove,https://www.inaturalist.org/observations/40087726,2020
hand,https://www.inaturalist.org/observations/401036,2004
hand,https://www.inaturalist.org/observations/40221797,2020
glove,https://www.inaturalist.org/observations/4032129,2016
hand,https://www.inaturalist.org/observations/408494,1992
hand,https://www.inaturalist.org/observations/408499,1992
hand,https://www.inaturalist.org/observations/41347005,2015
glove,https://www.inaturalist.org/observations/41561323,2008
glove,https://www.inaturalist.org/observations/41561325,2007
hand,https://www.inaturalist.org/observations/41759620,2020
hand,https://www.inaturalist.org/observations/41763465,2006
hand,https://www.inaturalist.org/observations/41899570,2019
glove,https://www.inaturalist.org/observations/42142785,2020
glove,https://www.inaturalist.org/observations/42564304,2018
glove,https://www.inaturalist.org/observations/42678557,2015
glove,https://www.inaturalist.org/observations/42678560,2015
glove,https://www.inaturalist.org/observations/42809835,2019
hand,https://www.inaturalist.org/observations/4288176,2006
hand,https://www.inaturalist.org/observations/43523925,2019
hand,https://www.inaturalist.org/observations/439064,2003
hand,https://www.inaturalist.org/observations/44594123,2017
hand,https://www.inaturalist.org/observations/4635599,2004
hand,https://www.inaturalist.org/observations/4635602,2006
glove,https://www.inaturalist.org/observations/46458098,2019
hand,https://www.inaturalist.org/observations/4818740,2006
hand,https://www.inaturalist.org/observations/48378325,2001
hand,https://www.inaturalist.org/observations/49339880,2020
hand,https://www.inaturalist.org/observations/5029560,2016
hand,https://www.inaturalist.org/observations/50528144,2020
glove,https://www.inaturalist.org/observations/51353511,2019
glove,https://www.inaturalist.org/observations/51509042,2019
glove,https://www.inaturalist.org/observations/51758162,2020
hand,https://www.inaturalist.org/observations/52052087,2002
hand,https://www.inaturalist.org/observations/52053763,2004
hand,https://www.inaturalist.org/observations/521285,2004
hand,https://www.inaturalist.org/observations/521291,2004
hand,https://www.inaturalist.org/observations/522346,2009
hand,https://www.inaturalist.org/observations/52475303,2020
hand,https://www.inaturalist.org/observations/5308405,1984
hand,https://www.inaturalist.org/observations/54688336,2012
hand,https://www.inaturalist.org/observations/56301003,2006
hand,https://www.inaturalist.org/observations/57224685,2020
hand,https://www.inaturalist.org/observations/57225341,2020
hand,https://www.inaturalist.org/observations/57275530,2020
hand,https://www.inaturalist.org/observations/57276991,2017
hand,https://www.inaturalist.org/observations/57277143,2017
hand,https://www.inaturalist.org/observations/57289999,2020
hand,https://www.inaturalist.org/observations/57331647,2017
hand,https://www.inaturalist.org/observations/57331768,2017
hand,https://www.inaturalist.org/observations/57332154,2017
hand,https://www.inaturalist.org/observations/57332849,2017
hand,https://www.inaturalist.org/observations/57332975,2017
hand,https://www.inaturalist.org/observations/57333268,2017
hand,https://www.inaturalist.org/observations/57333515,2017
hand,https://www.inaturalist.org/observations/57339253,2017
hand,https://www.inaturalist.org/observations/57339385,2017
hand,https://www.inaturalist.org/observations/57350893,2015
hand,https://www.inaturalist.org/observations/57350898,2015
hand,https://www.inaturalist.org/observations/57352107,2015
glove,https://www.inaturalist.org/observations/57357212,2013
hand,https://www.inaturalist.org/observations/57357214,2013
glove,https://www.inaturalist.org/observations/57357218,2013
glove,https://www.inaturalist.org/observations/57357219,2013
hand,https://www.inaturalist.org/observations/57357221,2013
glove,https://www.inaturalist.org/observations/57357223,2013
glove,https://www.inaturalist.org/observations/57357224,2013
glove,https://www.inaturalist.org/observations/57357226,2013
glove,https://www.inaturalist.org/observations/57357228,2013
glove,https://www.inaturalist.org/observations/57357231,2013
glove,https://www.inaturalist.org/observations/57357232,2013
glove,https://www.inaturalist.org/observations/57357235,2013
glove,https://www.inaturalist.org/observations/57357238,2013
hand,https://www.inaturalist.org/observations/57409441,2017
hand,https://www.inaturalist.org/observations/57442695,2016
glove,https://www.inaturalist.org/observations/57465281,2020
hand,https://www.inaturalist.org/observations/57511570,2020
hand,https://www.inaturalist.org/observations/57569161,2017
hand,https://www.inaturalist.org/observations/57569918,2017
hand,https://www.inaturalist.org/observations/57570275,2017
hand,https://www.inaturalist.org/observations/57570498,2017
hand,https://www.inaturalist.org/observations/57570756,2017
hand,https://www.inaturalist.org/observations/57576657,2020
hand,https://www.inaturalist.org/observations/57610407,2020
hand,https://www.inaturalist.org/observations/57673280,2020
hand,https://www.inaturalist.org/observations/57706156,2020
glove,https://www.inaturalist.org/observations/57722031,2020
hand,https://www.inaturalist.org/observations/57783941,2017
hand,https://www.inaturalist.org/observations/57787582,2020
glove,https://www.inaturalist.org/observations/57818216,2020
hand,https://www.inaturalist.org/observations/57905329,2019
glove,https://www.inaturalist.org/observations/57905459,2019
hand,https://www.inaturalist.org/observations/57928979,2009
glove,https://www.inaturalist.org/observations/57928981,2009
hand,https://www.inaturalist.org/observations/57928982,2009
hand,https://www.inaturalist.org/observations/57928983,2009
glove,https://www.inaturalist.org/observations/57928995,2009
hand,https://www.inaturalist.org/observations/57929003,2009
glove,https://www.inaturalist.org/observations/57929004,2009
hand,https://www.inaturalist.org/observations/57929005,2009
hand,https://www.inaturalist.org/observations/58050534,2020
hand,https://www.inaturalist.org/observations/58085187,2008
hand,https://www.inaturalist.org/observations/58085240,2008
hand,https://www.inaturalist.org/observations/58085241,2008
hand,https://www.inaturalist.org/observations/58085246,2008
hand,https://www.inaturalist.org/observations/58085248,2008
hand,https://www.inaturalist.org/observations/58085251,2008
hand,https://www.inaturalist.org/observations/58085276,2008
hand,https://www.inaturalist.org/observations/58149276,2009
glove,https://www.inaturalist.org/observations/58153447,2000
hand,https://www.inaturalist.org/observations/58154062,2005
hand,https://www.inaturalist.org/observations/58177479,2019
hand,https://www.inaturalist.org/observations/58194683,2020
glove,https://www.inaturalist.org/observations/58197641,2020
glove,https://www.inaturalist.org/observations/58203973,2020
glove,https://www.inaturalist.org/observations/58205544,2020
hand,https://www.inaturalist.org/observations/58208840,2019
hand,https://www.inaturalist.org/observations/58223593,2020
glove,https://www.inaturalist.org/observations/58244402,2020
hand,https://www.inaturalist.org/observations/58257136,2009
glove,https://www.inaturalist.org/observations/58266583,2020
glove,https://www.inaturalist.org/observations/58279574,2020
glove,https://www.inaturalist.org/observations/58303795,2020
hand,https://www.inaturalist.org/observations/58356659,2020
hand,https://www.inaturalist.org/observations/58357496,2018
hand,https://www.inaturalist.org/observations/58364547,2009
hand,https://www.inaturalist.org/observations/58364618,2009
hand,https://www.inaturalist.org/observations/58364718,2009
hand,https://www.inaturalist.org/observations/58371569,2020
glove,https://www.inaturalist.org/observations/58391018,2020
hand,https://www.inaturalist.org/observations/58411669,2009
hand,https://www.inaturalist.org/observations/58418406,2020
glove,https://www.inaturalist.org/observations/58433539,2019
glove,https://www.inaturalist.org/observations/58478420,2020
glove,https://www.inaturalist.org/observations/58528479,2020
hand,https://www.inaturalist.org/observations/58560533,2020
glove,https://www.inaturalist.org/observations/58654581,2020
hand,https://www.inaturalist.org/observations/58687060,2010
hand,https://www.inaturalist.org/observations/58687087,2010
